UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
-3.4306886,-0.25203177,11.720059,12.358964,13.024351,13.111449,18.614172,9.736725,-4.242726,-2.219472,-6.9950867,-2.733031
-0.38542274,-2.29862,8.611278,13.357707,9.686845,14.215924,16.279371,12.232528,-1.6820341,-2.6539967,-4.2144065,-2.8766084
-4.22707,-1.9471701,12.584059,13.948443,13.850716,14.710438,19.712261,10.908944,-5.1982946,-3.5073557,-7.5215745,-4.2140226
-3.1609201,-3.515155,11.220133,15.546423,12.59178,16.072065,19.421663,12.664949,-3.839804,-4.4547606,-6.404041,-5.1655574
-3.0450852,-2.134175,10.739736,14.583024,12.304208,15.722551,18.545885,12.0972,-3.4040174,-3.722281,-5.8438816,-4.500379
-2.722563,-4.357779,10.268626,16.352564,11.884231,17.309351,18.879347,14.123561,-3.9116256,-5.338797,-6.230335,-5.6668367
-5.305249,-2.295266,13.125465,14.762366,14.617458,15.250036,20.827654,11.088174,-5.9743347,-3.9346771,-8.344187,-4.7124186
-6.0592914,-1.7309006,14.149792,14.420656,15.584659,14.611164,21.273148,10.244341,-6.8402395,-3.3469434,-9.577519,-4.2177386
-1.8082577,-4.130592,9.485037,15.64377,10.991903,16.587385,17.796247,13.515702,-2.1729224,-4.922159,-4.3725095,-4.9864316
-2.1225688,-5.3926086,9.53546,16.836441,11.205834,17.795828,18.643978,14.753523,-3.3373787,-6.474434,-5.3399296,-6.797316
1.3565042,-2.6978114,6.8889933,13.663841,8.219138,14.862948,14.822687,13.183055,0.092837155,-2.503239,-2.670774,-2.7047064
-3.0190868,-3.5447807,10.815211,15.067748,12.43814,15.528553,18.996473,12.5623455,-3.5794697,-3.9623656,-5.9578295,-4.7688785
-4.358777,-1.7415087,12.524768,13.989755,13.873438,14.610337,19.5349,10.773634,-5.3366323,-3.4218652,-7.8529267,-4.2487693
-3.8217952,-4.9577227,11.232307,16.972273,12.878777,17.504698,19.982588,13.755428,-4.4208837,-5.851479,-6.520827,-6.4660225
-6.0982966,-1.1187088,14.028932,13.912697,15.19286,14.040082,20.651096,9.661525,-6.604535,-2.6684475,-9.149075,-3.7674944
-3.7337646,-0.10589413,11.781805,12.42112,13.090367,13.356648,18.437134,9.878694,-4.1840878,-2.3541286,-6.87171,-2.7967968
-1.9488502,-3.6134531,9.829956,15.265982,11.347494,16.243542,18.325014,12.979781,-2.275471,-4.654351,-4.681109,-4.869003
-3.1073842,-4.924735,10.763208,16.750656,12.166282,17.53753,19.644985,13.647559,-4.0386267,-5.640636,-6.165387,-6.0899377
-3.0902252,-6.255941,10.383864,17.999561,11.902761,18.923588,19.66184,15.367599,-3.9724562,-7.3677444,-5.8821697,-7.7458353
-4.952304,-1.9515018,12.491286,14.54467,14.28976,15.429586,20.10293,11.36474,-5.562699,-3.9037573,-7.7253737,-4.485965
-1.8966469,-0.021792406,10.634067,11.638087,11.745918,12.65434,18.229973,10.753688,-4.500618,-1.9938338,-7.056401,-3.5273237
-3.276783,-1.6542872,11.806571,13.283478,12.990731,14.204438,18.910969,10.711022,-4.4683933,-2.8430562,-7.190323,-3.4047477
-3.9159207,-2.9930863,11.889698,14.899053,13.222783,15.832172,19.677006,11.989493,-4.6096454,-4.1519327,-7.165074,-4.909336
-3.3718748,-5.516485,10.725986,17.49265,12.456997,18.076204,20.023502,14.451927,-4.267397,-6.452037,-6.3472123,-7.05093
-2.6563861,-0.016123198,11.255167,11.969015,12.378654,12.902559,17.841312,9.73812,-4.0186806,-1.851641,-7.050303,-2.3829165
-0.42578495,0.37788892,9.314352,10.868987,10.440387,12.07474,15.807826,9.776171,-2.7757688,-0.37508383,-5.823151,-0.82414114
0.78499836,-2.3677487,7.733751,13.321809,9.00857,14.670235,15.395169,12.508873,-0.720976,-2.5265825,-3.3954678,-2.453447
3.1554775,-4.6121535,4.593994,14.769439,6.098416,16.332197,13.414092,14.813416,2.1624098,-2.9821975,-0.44693124,-2.6669328
1.5237696,-4.243984,6.2752852,14.922037,7.9869413,16.187157,15.034993,14.306563,0.7013715,-3.6259727,-1.9485508,-3.357275
-2.4756634,-0.015674774,11.422312,12.132744,12.387608,12.889293,18.079378,9.891097,-4.5159307,-1.8688549,-7.3191786,-2.6833844
1.8892075,-1.8109306,6.705669,12.533712,7.918502,13.869109,14.100996,12.040495,0.21406789,-1.3053542,-2.8745186,-1.1709682
-2.998499,-4.7059383,10.613618,16.584528,12.271062,17.491482,19.899492,14.049176,-3.8895698,-5.7022643,-6.0550385,-6.1503553
-1.5223572,-5.830785,9.073739,17.333027,10.653088,18.133204,18.245005,15.191223,-2.6377106,-6.8060775,-4.5900817,-7.022557
1.9695901,-4.852793,5.820894,15.257721,7.5028787,16.594181,14.587398,14.7816925,1.4416656,-3.8140306,-1.5753633,-3.4158697
-3.1251612,-2.6147158,11.316657,14.530021,12.737536,15.125131,18.989494,11.634091,-4.318267,-3.6789987,-6.8655205,-4.173161
