gene,importance
mmp12,0.002999012304147151
rheb,0.00296529309360598
ugt2b17,0.002954559895184547
nr2f1,0.0029277761472739547
casp8,0.0028850434391474496
fam20c,0.002862904054552473
lamb3,0.002857412668609632
psen1,0.0028447568388836222
akr1c4,0.002841648841655833
kras,0.002836233068407699
cyp17a1,0.0028269958749301567
pde4dip,0.0028125815237298873
casp10,0.002807089003695575
hsd17b12,0.00280244008238305
bmpr2,0.00278960330384215
stab2,0.0027633794430012466
kdr,0.0027551734304150743
gdf11,0.002746980819278246
zfp36l1,0.0027401882777391227
cul1,0.0027284972692103583
csf1r,0.0027208973253547734
arid1a,0.002716872016763874
sgcd,0.002705739360469944
pbrm1,0.0026879541817576
palld,0.0026682988157062937
tp53,0.002653222357125349
usp9x,0.002638605568559224
pdgfra,0.0026243521710068623
mmp14,0.0026062207672914806
rfng,0.002604722070229939
nfkb2,0.0026043867950995914
aph1a,0.0026000440263240668
smad4,0.002594098324481889
runx1,0.002579859433940384
msh2,0.0025665493482488217
fgfr1,0.0025622415561917513
chd1,0.0025433788589494994
bcl2l1,0.002533915385054761
ptprm,0.002505392494699495
dll3,0.0024946300892304827
ccnd2,0.0024943354999603473
mmp28,0.002493351255003447
cdh1,0.002482757396544485
nbn,0.0024739027087104975
ncoa2,0.0024454038974802733
nf1,0.002443143399480022
casp9,0.0024403692701805875
thsd7a,0.0024238409076689196
ccna1,0.0024230514964042665
bmpr1a,0.002416940704972463
rab25,0.002416536890428761
csf1,0.0023719067368274185
fgf1,0.0023707146950909877
dnah11,0.002369472488153181
igf1,0.002349416739059928
itgb3,0.002346296620308513
clk3,0.0023433751151475724
mtor,0.002342384341324007
mapk6,0.0023267512921769213
cyp3a4,0.0023228784262517336
taf4b,0.002315890389368571
map3k5,0.0023141716610714383
hdac2,0.0022812168496369133
cyp11a1,0.0022741045216580907
brca1,0.0022739202497407936
hsd17b2,0.0022610526674554173
arl11,0.0022480193148241576
dtx1,0.002235661565834932
ptprd,0.0022318162216014357
eif4e,0.0022196433489575108
tgfb2,0.00221105173158985
setdb1,0.0022024190591464006
hsd17b11,0.0022018637656528923
ctcf,0.0021935985502559673
agtr2,0.002184974431103888
bmp5,0.0021817804588801755
prkci,0.002171925790270911
akr1c2,0.0021697614503090965
srd5a1,0.002137451703940011
ncstn,0.0021205582259280625
pik3r3,0.00210945410244227
hsd3b2,0.002098599357946058
mdm2,0.0020978062264161343
eif5a2,0.0020789131453391096
sox9,0.0020711660982518274
birc6,0.0020419436637209324
syne1,0.0020373621801124423
adgra2,0.002030647678367008
ldlrap1,0.0020253272875314916
srd5a3,0.0020235177587381507
erbb3,0.002015192877737673
ccnd1,0.0020082469285552865
acvr2b,0.0020006862236984072
dph1,0.001973081626906493
rasgef1b,0.0019657008895849638
ugt2b7,0.0019594546921258304
hes7,0.0019589938627101824
hey1,0.0019567672114789397
tubb1,0.0019549859724298743
nf2,0.0019507940384564902
map2k2,0.0019490839296995995
mmp3,0.0019470814712632754
hsd17b7,0.001942618690738954
ccnd3,0.0019282712903265556
tbl1xr1,0.0019282460821931423
ppp2cb,0.0019269965156322793
cyp11b2,0.0019232573437523255
jag1,0.001920193713359286
folr2,0.0019141855662756365
rps6ka2,0.001896163463932422
ush2a,0.0018749461196280826
rbl2,0.001871650028073787
zfyve9,0.0018690934748443037
epcam,0.0018687497189389826
fas,0.0018678819938161492
jak1,0.0018659332569240863
map4,0.0018643244118855499
dtx3,0.0018540030234367962
nrarp,0.0018481341506618196
stk11,0.0018443069909510063
rbpjl,0.0018354766469167738
hsd3b1,0.0018146607392471499
mmp19,0.0017921280348976627
mapk1,0.0017805644502032795
bbc3,0.0017600294930465072
dtwd2,0.001747320780878083
nr1i2,0.001746830815888789
cyb5a,0.0017466978628205797
cdkn2b,0.0017370024490999663
map2k1,0.0017329447853378609
acvrl1,0.001727447431150082
magea8,0.0017182095250371243
pik3r1,0.0017125853288476203
kmt2d,0.0016975914533021088
peg3,0.0016926190946337605
mapk3,0.0016890611078370507
col22a1,0.0016839526254436258
pdpk1,0.0016723254318759683
bmp6,0.0016606898448234683
hes1,0.001642690699812355
mlh1,0.001633845171783024
tgfbr2,0.0016205657085324506
dab2,0.0016143599684457716
akr1c1,0.001613844910303265
prkd1,0.001613554441244133
gldc,0.001612535998728539
sik1,0.001606458650892392
dnah2,0.0016003147442521693
hdac1,0.001595366148330938
tp53bp1,0.001590981150345501
numb,0.0015885858947267423
mmp10,0.001586915326237274
bap1,0.001586115497019942
cdkn2a,0.0015742474689617396
ncor1,0.0015727687360668138
inhbc,0.0015689682024239355
hsd3b7,0.0015625233768690595
arid5b,0.0015501859816112425
map3k10,0.001539600786880912
rad50,0.0015378297790433677
akt1s1,0.001532572600242306
pik3ca,0.0015207840780150923
l1cam,0.0015183111492498018
cyp3a7,0.0015117196252346875
cyp21a2,0.0015097290113654136
terc,0.0015082630779132008
alk,0.0015070172888639309
mlst8,0.0014930145623959195
herc2,0.0014919825996078846
mmp17,0.001487488814802873
rad51c,0.0014872452380719399
cdkn1a,0.001475874003265037
cxcr2,0.0014690394170884247
tgfb1,0.0014685561175380747
cxcr1,0.0014612916768131936
rictor,0.0014544046467271084
smad9,0.0014491681902796575
casp6,0.001446682359176206
maml2,0.0014452370076347971
ros1,0.0014381938914915355
lipi,0.0014381252875510756
bmp10,0.0014107310641999907
prkcq,0.0014076756165602574
snw1,0.0014070230885300746
taf1,0.001404217178681134
ahnak,0.0013984681930640048
mapk9,0.0013937247127659596
foxo1,0.001390084676707818
myo1a,0.0013722144533628046
folr1,0.0013703592294305096
tulp4,0.001354800879563513
casp7,0.0013517686199863003
sf3b1,0.0013505831683811086
rb1,0.0013500333424665552
hsd17b1,0.0013402814452232925
psen2,0.0013372489073300322
braf,0.0013290552701524423
erbb4,0.0013230707043161893
gh1,0.001311724536664354
hsd17b14,0.0013098588332219926
prps2,0.001309729907931774
tubb4a,0.0013017696257175313
rdh5,0.0012988592226910452
cyp19a1,0.001296877240896338
nras,0.001287366188894395
bmp4,0.0012859039837189532
fanca,0.0012704541522388364
ttyh1,0.0012676585672351602
mmp7,0.0012546009335477001
shank2,0.0012526101969219051
dtx4,0.0012433132096688136
kdm5a,0.001242524477859599
ctnna3,0.0012273374683079608
pms2,0.0012224951227594435
bmp2,0.0012151780598002669
akt2,0.0012129436614496446
rad51d,0.0012028524730588422
ddc,0.0012020350583509158
arid1b,0.0011906830920935011
lama2,0.001189861744776823
frmd3,0.001177488547186012
cdk6,0.0011725188870474804
atr,0.001172273197943171
kmt2c,0.0011534665105633242
ar,0.001145468586070783
ugt2b15,0.0011444028273470191
sbno1,0.0011356998328371172
stat3,0.0011295970267230923
hsd17b10,0.0011092668519296115
tert,0.0011045755309495942
acvr1c,0.0010971190910119596
akap9,0.0010877914658295386
fbxw7,0.0010778156067166938
izumo1r,0.001076696710496727
adam10,0.0010591308361224743
cyp2c8,0.0010568008781739113
spaca1,0.001046875376517411
cyp3a43,0.0010352031490373083
maml3,0.0010326791647462077
hsd17b3,0.0010097840396959068
e2f6,0.0009771541467864767
tgfb3,0.0009426026242713194
mtap,0.000933651071022723
kdm6a,0.000906329374491875
opcml,0.0008624680436671244
agmo,0.0008621484236473238
hes5,0.0008482993294380299
gpr32,0.0008151394336101633
sdc4,0.0008113025203553583
e2f5,0.000797945364547278
or6a2,0.0007945760067702204
notch2,0.0007927268103016002
inhba,0.0006627933979029737
bmp15,0.0006472572759081947
bche,0.0006147244057922728
