seed,top_genes,ae_latent,clin_latent,cv_mean,cv_std,test_cindex
1,15,8,16,0.6514304814976527,0.027299200025811998,0.636873785190294
1,15,8,32,0.6482159367173342,0.025836447353276663,0.6505110038246912
1,15,16,16,0.6399683885996673,0.026078540608092955,0.6526741488494576
1,15,16,32,0.6507029420091857,0.01956363412515139,0.6436140196877547
1,25,8,16,0.661793464035384,0.030543719211716225,0.6443664179572387
1,25,8,32,0.6483930381696706,0.04035787277605829,0.6287855037933413
1,25,16,16,0.6477451022273482,0.023446252108501292,0.6458085146404163
1,25,16,32,0.6563005476762871,0.019773557313734456,0.6215123205216628
1,50,8,16,0.653137836424916,0.02129517097489156,0.6441783183898677
1,50,8,32,0.6545021359110433,0.019466328926656073,0.6419211235814157
1,50,16,16,0.643532284146344,0.028039750213068045,0.6341463414634146
1,50,16,32,0.6553520699634914,0.025628451028148532,0.6683804627249358
1,75,8,16,0.6522747810654129,0.019611871421633037,0.6414508746629882
1,75,8,32,0.6510575212169556,0.011599987083464516,0.6439588688946015
1,75,16,16,0.64050674839207,0.017035060431810408,0.6403222772587623
1,75,16,32,0.6533602532776331,0.01799484482878411,0.6343344410307856
10,15,8,16,0.6609879248004565,0.02123437114434254,0.6155068220048595
10,15,8,32,0.6464470321656176,0.03349643701027169,0.6317363404149274
10,15,16,16,0.6515478092030651,0.023881141578715057,0.6445704317488007
10,15,16,32,0.647811322623238,0.023573114937093027,0.6451622951841007
10,25,8,16,0.6440481189212853,0.016780678816827026,0.6436359105351691
10,25,8,32,0.6522693409780855,0.01439108974187737,0.6434178555853218
10,25,16,16,0.6546936150281953,0.021443240549764445,0.6480593109463585
10,25,16,32,0.6556863472126653,0.028555906794034525,0.6455361036695533
10,50,8,16,0.6561885362609926,0.02188322664821717,0.6490561335742321
10,50,8,32,0.6525617948391619,0.032857577723751946,0.6619836770294686
10,50,16,16,0.6583391779328501,0.024848260332232856,0.6402404834589746
10,50,16,32,0.6548458868187507,0.024767875565978877,0.6345399040558221
10,75,8,16,0.6358562234960297,0.02711525492779502,0.6630428010715843
10,75,8,32,0.6432891398886668,0.013517136441784509,0.6613295121799265
10,75,16,16,0.629703936485216,0.019488628062810053,0.6593670176313002
10,75,16,32,0.6343665849200748,0.022812697591219136,0.6368139056756589
20,15,8,16,0.6412525779808752,0.024339714622174397,0.6409749670619236
20,15,8,32,0.6355589775005371,0.025920371614397798,0.64517849300458
20,15,16,16,0.6433532812048817,0.02890474834977354,0.6286153460066504
20,15,16,32,0.6350215519461894,0.02498930922596189,0.632128740824393
20,25,8,16,0.6440215750610917,0.021386662797152657,0.6294309555179121
20,25,8,32,0.6475974404838153,0.028213316959166852,0.6326306543697848
20,25,16,16,0.6567486271794053,0.02478059928243708,0.6567852437417655
20,25,16,32,0.6484708594537005,0.034003649559010904,0.6286780851998244
20,50,8,16,0.6496212437039202,0.03943074514259347,0.6588870067130936
20,50,8,32,0.6396576325264295,0.03007873546559892,0.6863981429198821
20,50,16,16,0.6433976638853794,0.04222403035439815,0.6650981868373173
20,50,16,32,0.6329326826848921,0.03286242664774533,0.6684547336721249
20,75,8,16,0.6162980487162834,0.017324036909745134,0.7152581717799109
20,75,8,32,0.6205799209028775,0.01251808018772298,0.665819687558818
20,75,16,16,0.6127926242333357,0.015038014955205889,0.689158667419537
20,75,16,32,0.6112228658587098,0.01676534353252414,0.6773009599096556
50,15,8,16,0.6323212673463864,0.018240481004151658,0.662552776875609
50,15,8,32,0.6444951518085827,0.02937062593327557,0.6596297499188049
50,15,16,16,0.6375271878221953,0.021494435013620788,0.656765774011633
50,15,16,32,0.628100602704843,0.026061951461612446,0.6545218341256016
50,25,8,16,0.6246937583621216,0.03350931643886716,0.6707608727745136
