seed,top_genes,ae_latent,clin_latent,cv_mean,cv_std,test_cindex
1,15,8,16,0.6484991825968354,0.013785074387227852,0.6465922628377955
1,15,8,32,0.6534252308155484,0.023572702232764618,0.6533324973352561
1,15,8,64,0.6389849536113448,0.01484733872232091,0.646122013919368
1,15,16,16,0.6460754710760626,0.0234723593877003,0.6467490124772713
1,15,16,32,0.6430699225630401,0.022837995231297537,0.6343030911028905
1,15,16,64,0.6444330929926935,0.022167464063705896,0.6554956423600226
1,15,32,16,0.6551200680501281,0.0207321873182627,0.6335820427613017
1,15,32,32,0.6428859826183049,0.03518717642007779,0.6528935983447238
1,15,32,64,0.6440291907278033,0.02993031344846748,0.6754341965013481
1,15,64,16,0.6493167735845919,0.019373830926895392,0.646310113486739
1,15,64,32,0.6530958682305762,0.02701162883221274,0.6543670449557966
1,15,64,64,0.6441349546083026,0.02779992806869534,0.6559658912784501
1,50,8,16,0.6492034770324829,0.02437561898658418,0.6681296633017744
1,50,8,32,0.6647739802180567,0.030671393307130076,0.6409492758166656
1,50,8,64,0.6497905092440963,0.021896767313547335,0.6688193617154681
1,50,16,16,0.6633940707127246,0.023606812493942492,0.6483165088720296
1,50,16,32,0.665477318827242,0.02867687768092159,0.6432691704809079
1,50,16,64,0.6516533743188739,0.021075415993805524,0.6643363220264593
1,50,32,16,0.6540890402648332,0.018448729968558102,0.6301022007649383
1,50,32,32,0.6531715897611245,0.03333884279809726,0.63514953915606
1,50,32,64,0.6526083591784946,0.02338968324627574,0.639695278700859
1,50,64,16,0.6453049923870893,0.019844878686219015,0.6511380023825946
1,50,64,32,0.6576830488014427,0.02437895936436812,0.6585679352937488
1,50,64,64,0.6537593849509757,0.02209230848991203,0.6477835600978118
1,100,8,16,0.6337366546592126,0.031746594439878845,0.6364348861997617
1,100,8,32,0.6391075516330167,0.01776569379288395,0.6375321336760925
1,100,8,64,0.6472368366935954,0.017526721243231343,0.627782306100696
1,100,16,16,0.6328219815785499,0.022303870138584467,0.6284093046585992
1,100,16,32,0.6336070963644628,0.024377240784450263,0.6140823876105085
1,100,16,64,0.6371771190713786,0.0272529446092225,0.614928835663678
1,100,32,16,0.6283791953271941,0.03402454224108773,0.6454009655777792
1,100,32,32,0.6488270191564298,0.02061059055062653,0.6379710326666249
1,100,32,64,0.6328605425820607,0.030351122181995312,0.64837920872782
1,100,64,16,0.6279357901538329,0.025839909829295606,0.6367170355508183
1,100,64,32,0.6361407884211034,0.032378686426462064,0.6340836416076243
1,100,64,64,0.6308636388957949,0.024267760422294924,0.6114176437394194
1,250,8,16,0.6084175409414587,0.02184927195529376,0.6524546993541915
1,250,8,32,0.6007527850656974,0.03549916578755629,0.6697912094802182
1,250,8,64,0.609041817756989,0.021473486117022936,0.6506364035362718
1,250,16,16,0.6164932811337963,0.02183230984295509,0.6332058436265596
1,250,16,32,0.6047958994581718,0.028280936018880643,0.6681610132296696
1,250,16,64,0.6042785116619124,0.023769972783819725,0.6367797354066086
1,250,32,16,0.6060943003258237,0.022445451379048357,0.6422659727882626
1,250,32,32,0.6018732085059562,0.026892942990896854,0.6447426170919807
1,250,32,64,0.6038078620139574,0.0178476292982788,0.6559031914226597
1,250,64,16,0.6030526654980214,0.028215084257502625,0.653489246974732
1,250,64,32,0.5955859276437763,0.027248458321118656,0.6516396012289172
1,250,64,64,0.6005355854910572,0.018887825089222623,0.647062511756223
10,15,8,16,0.6519023855037691,0.02192923521253508,0.6304591614229643
10,15,8,32,0.6644697066375472,0.023872454587672044,0.6294000373808486
10,15,8,64,0.6455442249183019,0.027425471751134762,0.6397420721450376
10,15,16,16,0.6454170952887097,0.018214489076960938,0.6234191016136066
10,15,16,32,0.653401454002032,0.026305988833936013,0.6377795775964115
10,15,16,64,0.6508244694286522,0.01964610934726879,0.6456918572051585
10,15,32,16,0.6454024636319476,0.023114968453745523,0.6276867484891907
10,15,32,32,0.647633534048777,0.021278988044986062,0.635754781633543
10,15,32,64,0.6505090456464008,0.012660312435710062,0.6283409133387328
10,15,64,16,0.6431047839422553,0.023570633524598004,0.6311444769796274
10,15,64,32,0.6451696066814291,0.022120859111452434,0.639337112952464
10,15,64,64,0.641371291369096,0.013904274056766145,0.6288704753597907
10,50,8,16,0.6608587752660908,0.023198391753234578,0.6602703881378107
10,50,8,32,0.6563275756160507,0.02094165340875434,0.6788673602890786
10,50,8,64,0.6545779061814523,0.036854769384599105,0.6627935954146159
10,50,16,16,0.6596086340701591,0.025124893615827038,0.6422029780076007
10,50,16,32,0.6481302506489139,0.023329863356532515,0.6722945610865366
10,50,16,64,0.6566180893698617,0.015268049192140611,0.629711544452059
10,50,32,16,0.6483288439013706,0.029481312095835543,0.6611426079372001
10,50,32,32,0.6383949013280296,0.01663070623000809,0.6438228147778955
10,50,32,64,0.6554237662328044,0.017345991440077653,0.6503644632733163
10,50,64,16,0.6544710946850849,0.02466422705880003,0.6398978256806429
10,50,64,32,0.6507002211350574,0.015181123243908176,0.6389944551741324
10,50,64,64,0.6518185334329705,0.023077140580485614,0.6352252196124852
10,100,8,16,0.6267861939314183,0.02066094450060698,0.6550993707557161
10,100,8,32,0.6393113785418378,0.026413934623685652,0.6462525699333375
10,100,8,64,0.6369338472017398,0.024822800748142464,0.6537287396423899
10,100,16,16,0.6432061485653288,0.020184858072022763,0.6428259921500218
10,100,16,32,0.6371055845361905,0.0187873859349608,0.6485265715531743
10,100,16,64,0.6318742999294921,0.024127062210876973,0.6373746184038378
10,100,32,16,0.6296596789640334,0.03374165214869448,0.6445704317488007
10,100,32,32,0.6321462756545397,0.01326168878762971,0.6402716341660956
10,100,32,64,0.6285277486447242,0.01752453474917383,0.6597096754096318
10,100,64,16,0.6247279482947846,0.017214615291332284,0.6454115008410691
10,100,64,32,0.6328568006730493,0.030671438761880266,0.6279359541461591
10,100,64,64,0.6360790951202899,0.014683084805996937,0.6245405270699644
10,250,8,16,0.6263371697705693,0.030584687629615474,0.6396174693165535
10,250,8,32,0.641087978611051,0.013201669388186038,0.5949785060120865
10,250,8,64,0.6402653052264364,0.02468502118254068,0.6150707121051648
10,250,16,16,0.6236666592579239,0.023613586123021387,0.6316740390006853
10,250,16,32,0.6323299489871298,0.025413026243435208,0.6099308454301913
10,250,16,64,0.6328905691116985,0.021459118580804026,0.6415799638651798
10,250,32,16,0.6310082919883102,0.011904496162396156,0.5898074886299919
10,250,32,32,0.6235943619334716,0.01385077902838483,0.6179365771603016
10,250,32,64,0.6309109143913381,0.025726424539668336,0.6294000373808486
10,250,64,16,0.6280895239511229,0.016187333488791537,0.6207401408011962
10,250,64,32,0.6230609540788942,0.01858438653421702,0.6199925238302909
10,250,64,64,0.6271137351000224,0.028710165956054266,0.5937947791414865
20,15,8,16,0.6355808586406987,0.018808905931422388,0.6349206349206349
20,15,8,32,0.629967752791144,0.021335390878029742,0.6109856327247631
20,15,8,64,0.6413147960667102,0.03694134885405867,0.6303093042223477
20,15,16,16,0.6411006548470601,0.011719531778547456,0.6307171089779785
20,15,16,32,0.6346835030553166,0.013169333446101973,0.626984126984127
20,15,16,64,0.6341243678494245,0.021602211865024926,0.6435159043854696
20,15,32,16,0.6463842363894197,0.020017545406134988,0.6551853943158291
20,15,32,32,0.6289841757946087,0.03911359242221129,0.6384653993349646
20,15,32,64,0.6455362709019634,0.02476643056109426,0.6342618733923082
20,15,64,16,0.6535386214130904,0.03346820725177573,0.6602045297697472
20,15,64,32,0.6345854635535781,0.02974797366651287,0.6394692264257482
20,15,64,64,0.6463184010558887,0.021772116233536667,0.639751552795031
20,50,8,16,0.6330431823102887,0.023540654334943945,0.6571303093042223
20,50,8,32,0.6402442150934297,0.029575582236172328,0.6806261371478762
20,50,8,64,0.6342007725857111,0.03503898286774668,0.6854256854256854
20,50,16,16,0.6372225055847001,0.03499428796671027,0.6660706443315139
20,50,16,32,0.6296294546178784,0.03672413809762284,0.6894096241922328
20,50,16,64,0.6402427404736996,0.03435679395064969,0.65298952255474
20,50,32,16,0.6259416371177724,0.03313958925171033,0.6796850492502666
20,50,32,32,0.6321664902291287,0.03811136985395696,0.6721877156659766
20,50,32,64,0.636104163189394,0.03861890514277138,0.6508250203902378
20,50,64,16,0.6307624875956932,0.03390559240658102,0.6778342430516343
20,50,64,32,0.6371157526823185,0.0412722268224768,0.6550599159294811
20,50,64,64,0.6352745518482634,0.029142943957621438,0.6404416839199448
20,100,8,16,0.6105059962476284,0.022674733545134555,0.627078235773888
20,100,8,32,0.6185618423046172,0.0069499450297003645,0.6514210427253906
20,100,8,64,0.6258296948797517,0.009692392737871642,0.6616475312127486
20,100,16,16,0.6059226150508119,0.018975357223133787,0.6495702365267583
20,100,16,32,0.6115527121777562,0.010509002075042047,0.6872764916243177
20,100,16,64,0.6123025372611831,0.026690859197697165,0.6798732668297885
20,100,32,16,0.6125070048493115,0.029832251316767578,0.6496016061233453
20,100,32,32,0.6224987267708865,0.023823232814090982,0.6445824706694272
20,100,32,64,0.6142562198964663,0.029602484843027285,0.6396574440052701
20,100,64,16,0.6057120816913353,0.027257420899749644,0.6493820189472364
20,100,64,32,0.6075053283681415,0.018388399932210666,0.6340109166196123
20,100,64,64,0.6068249633024874,0.01881420443921167,0.63997113997114
20,250,8,16,0.6220321593562386,0.026594863792239604,0.6601731601731602
20,250,8,32,0.626177460595537,0.01643142709157371,0.6847041847041847
20,250,8,64,0.6281304030375271,0.02935338531553905,0.6479390175042349
20,250,16,16,0.6222896305393262,0.027952347334035052,0.6534286969069578
20,250,16,32,0.6229200254242718,0.025358317459923098,0.6695840391492566
20,250,16,64,0.6165883916533687,0.022097860193280697,0.6627768366898802
20,250,32,16,0.6134000920342523,0.013733710592363514,0.6408494886755757
20,250,32,32,0.620421575528382,0.030100874004576623,0.658134136395006
20,250,32,64,0.6282166605218105,0.027537928643046883,0.6616475312127486
20,250,64,16,0.6121774096353074,0.018627393817663818,0.6515778907083255
20,250,64,32,0.6154185834341728,0.024296308678149282,0.6522052826400653
20,250,64,64,0.6157199399019724,0.02863990237381347,0.6611769872639438
50,15,8,16,0.6464671107124182,0.02576134186723824,0.6504473117009655
50,15,8,32,0.6301655607585998,0.0285827627801724,0.6818919956302223
50,15,8,64,0.6391851890198448,0.03396734328741847,0.6431545070713632
50,15,16,16,0.6321398097223568,0.026370775935413916,0.676784079837019
50,15,16,32,0.6345043515089627,0.023431101827451464,0.6998435147184742
50,15,16,64,0.6275774006391045,0.02742823614439269,0.6652100741090673
50,15,32,16,0.6336103260873933,0.02476740376678067,0.6704951430511678
50,15,32,32,0.6317594033249515,0.026438483085422102,0.6603383625143937
50,15,32,64,0.6367957659421706,0.030024254776609097,0.6578286929050163
50,15,64,16,0.638730269963904,0.019066617202095806,0.6771679116596298
50,15,64,32,0.6451202318430269,0.009592952878254473,0.6783784581770941
50,15,64,64,0.6391840198585463,0.023373846645685654,0.6473766571200803
50,50,8,16,0.6456718996807446,0.030300739818339934,0.6461365850777998
50,50,8,32,0.6393610284825164,0.02742566219835131,0.6655053293572293
50,50,8,64,0.6362505653959865,0.03261386087872875,0.6522483687147539
50,50,16,16,0.6347507275440505,0.03326585812817406,0.6552599722460066
