seed,top_genes,ae_latent,clin_latent,cv_mean,cv_std,test_cindex
1,50,8,16,0.6619980111823418,0.020222510952548154,0.6472819612514891
10,50,8,16,0.6554625377513545,0.026800383950858594,0.64721824185409
20,50,8,16,0.6322575159956455,0.03493412362345574,0.6820377689942907
50,50,8,16,0.640890952352024,0.03239393171261771,0.6733591189583394
100,50,8,16,0.6334415878604415,0.029158162818535515,0.6394242803504381
200,50,8,16,0.6434938378268787,0.02314354313295449,0.6859314671814671
500,50,8,16,0.6775891212952002,0.02232788440832384,0.6299057964343797
42,50,8,16,0.6530460280787154,0.026386170554889257,0.6559044264052688
600,50,8,16,0.6455177805686485,0.026140996656843548,0.660037759597231
30,50,8,16,0.6516177612489845,0.02384150586893623,0.7099736747636711
