gene,importance
bmpr2,0.002952843423365524
cyp17a1,0.0029224555736573725
pde4dip,0.0029064581939590222
lamb3,0.0029054075321079927
cul1,0.002900334048139664
pbrm1,0.0028977690490025036
casp8,0.002874484441374085
kras,0.002869619134808469
stab2,0.0028437112209365204
usp9x,0.0028174283547853936
psen1,0.0028138253988325593
casp10,0.002810308152638642
msh2,0.0027991494265633163
akr1c4,0.0027961219525505536
arid1a,0.002795688894753699
fgfr1,0.002778949901517361
csf1r,0.0027775740112332414
palld,0.002771763930008946
aph1a,0.002766954346378093
sgcd,0.0027648232819866493
zfp36l1,0.002762528416960103
gdf11,0.0027360271679911273
dll3,0.0027183989765023992
cdh1,0.002715415505842126
chd1,0.002693779805055929
mmp14,0.0026936658684131366
tp53,0.002692308225247006
nfkb2,0.0026795642791243588
mmp28,0.002632815622614488
smad4,0.0026318402721901496
ptprm,0.002623554155872154
runx1,0.0026050871677083995
pdgfra,0.0025969935135250395
ccnd2,0.0025450167217112396
kdr,0.002532323742773413
rfng,0.002530325270200602
nbn,0.002526675194358345
map3k5,0.002503326339243824
ncoa2,0.002499935397132885
clk3,0.0024656503174785233
cyp11a1,0.0024601618648539946
rab25,0.0024563339520794632
csf1,0.00245452087631433
igf1,0.0024473806946623622
itgb3,0.0024372974431869044
fgf1,0.0024342376515580134
taf4b,0.0024247966390012828
cyp3a4,0.0024226893841881258
thsd7a,0.0024210034047663846
ccna1,0.0024135649544764475
hsd3b2,0.002408408881803081
casp9,0.002406770392598794
ptprd,0.002371497154197439
bcl2l1,0.0023683461675032217
tgfb2,0.0023641394881369804
nf1,0.002364009505771281
hsd17b2,0.002353038189139793
hdac2,0.002350953807061519
mtor,0.002325466934366978
brca1,0.002303324698239263
dnah11,0.002296301069466687
bmpr1a,0.0022958610420264897
mapk6,0.002287424065565417
dtx1,0.0022740277420409795
srd5a1,0.0022687918876513015
eif4e,0.002257307549107169
ctcf,0.0022281465740800538
hsd17b11,0.0022211160524724014
agtr2,0.0022067931043654233
prkci,0.0021986000089528426
setdb1,0.0021920908630000038
syne1,0.0021736705772004094
arl11,0.002160258002336209
hsd17b7,0.0021501494890317106
mdm2,0.00214145661134016
ppp2cb,0.0021371087990908924
pik3r3,0.002134258826054746
srd5a3,0.0021340074706551076
ncstn,0.002127782008539338
sox9,0.002109170389412948
akr1c2,0.0021072696284214925
cyp11b2,0.002087169966533105
eif5a2,0.0020804132265294793
ldlrap1,0.002070512497422467
ugt2b7,0.0020597392608522817
birc6,0.0020447473775787746
adgra2,0.0020370217675623214
dph1,0.002028294851722427
ccnd1,0.0020247756961871938
hey1,0.002008824192724789
fas,0.002001068013408926
acvr2b,0.0019966658861957187
rasgef1b,0.0019886251857287
map2k2,0.0019846760338556057
bmp5,0.0019833735253727085
rps6ka2,0.001965548908661797
dtx3,0.0019638777616201868
mmp3,0.0019579271378363725
hes7,0.001952489260739544
nrarp,0.001944385828909179
nf2,0.0019416037201713124
stk11,0.0019399447174680657
tbl1xr1,0.0019224400989809578
rbl2,0.0019184603470803745
mapk1,0.0019161982716982325
map4,0.001913468094127288
jag1,0.0019132727110569069
erbb3,0.001911391242727778
jak1,0.0019091600857836404
tubb1,0.0019077569055041379
ccnd3,0.001894637247670727
zfyve9,0.0018690729086616265
hsd3b1,0.0018674835351553394
folr2,0.001857234685057089
ush2a,0.001847780003634308
col22a1,0.0018300549459688486
rbpjl,0.0018280684526467263
mmp19,0.0018163836156429485
bbc3,0.0018138208538360872
mapk3,0.0018068058118710668
peg3,0.0017693219059046784
dtwd2,0.0017670671532675475
epcam,0.0017602590077135322
kmt2d,0.0017601361654891504
acvrl1,0.001748834733047244
cyb5a,0.0017474462030603309
gldc,0.0017458334697168516
map2k1,0.0017182085596470957
sik1,0.001718015685983301
bap1,0.0017147797842488829
pik3r1,0.0017129253447696281
hdac1,0.001709325911900314
prkd1,0.0017078852194104311
magea8,0.0017015269694565863
tgfbr2,0.0016988097494922728
bmp6,0.0016983593569493902
tp53bp1,0.0016973694778079037
cdkn2b,0.0016973585739625929
mmp10,0.0016914464003370622
pdpk1,0.0016725661287154377
mlh1,0.001651422853875756
hes1,0.0016492455310981313
pik3ca,0.0016472165855472589
nr1i2,0.001629475607268275
cyp3a7,0.0016260271566245087
ncor1,0.0016224630075407451
inhbc,0.0016214488016615422
dnah2,0.00161804328065837
dab2,0.0016180405692708003
cyp21a2,0.0016137724610486802
alk,0.0016044185060399073
numb,0.0015879194153910002
cxcr2,0.0015867123910634235
mlst8,0.001583607777025396
l1cam,0.001579788429488097
herc2,0.001579300932804966
hsd3b7,0.0015785539997531723
snw1,0.0015773365821945408
cdkn2a,0.0015552977116711213
mmp17,0.0015544963013212861
arid5b,0.0015425133379101503
rad50,0.0015306269382769156
cdkn1a,0.001525166193391108
maml2,0.0015173016339075237
akt1s1,0.0015105689458811199
rictor,0.0015004529352749452
tgfb1,0.0014863804479144749
casp6,0.001485174551150499
smad9,0.0014686479407596718
cxcr1,0.001464987337697825
mapk9,0.0014631046111462861
rad51c,0.0014572848625437158
terc,0.0014555675546436176
ros1,0.0014535340032389397
map3k10,0.0014507906894393418
gh1,0.0014424460024527457
folr1,0.0014390304691185268
lipi,0.0014288650231424913
prkcq,0.0014272933293358182
taf1,0.0014239561793865617
ahnak,0.00141779846253597
erbb4,0.0013980062661626445
bmp10,0.001396459709273879
cyp19a1,0.001393713415953322
akr1c1,0.0013923298894732634
nras,0.0013894156902629108
psen2,0.0013881875051935224
hsd17b1,0.0013861873980590784
ttyh1,0.001372708776718255
bmp4,0.0013721857571319426
tulp4,0.0013706913754567918
dtx4,0.0013694283512842346
bmp2,0.0013432406676620718
rb1,0.0013338863947141093
foxo1,0.001324313565347006
sf3b1,0.0013166466252119721
braf,0.0013050873705937934
kmt2c,0.0013034583971041425
rdh5,0.0013015263365781563
myo1a,0.0012979368170523162
hsd17b14,0.001284356442065501
mmp7,0.0012740408298407568
shank2,0.001264676226089761
pms2,0.0012597555355302384
frmd3,0.0012318903336142318
ddc,0.0012284010376736746
prps2,0.0012269482640701347
lama2,0.0012258922301644356
rad51d,0.001225568572930637
ar,0.0012246497522140506
kdm5a,0.00122015034217501
fanca,0.0012154181629333845
akt2,0.0012142169228138615
ctnna3,0.0012090261236748412
ugt2b15,0.0012089532598661152
atr,0.0012076607373174924
tubb4a,0.0012072174235195964
casp7,0.0012068188155293707
izumo1r,0.0011784233685383067
arid1b,0.0011674002909299861
sbno1,0.001162157359978661
tert,0.0011531224175656955
hsd17b10,0.0011319609985902287
cdk6,0.0011285675969389434
spaca1,0.0011263472821409718
stat3,0.0011218709121533126
maml3,0.0011110604291866086
fbxw7,0.0011088334619382384
akap9,0.0011040592985820576
cyp2c8,0.0010973542667743683
acvr1c,0.0010591789546281318
cyp3a43,0.0010472311492372279
adam10,0.0010253693976370346
e2f6,0.0010239025446559407
mtap,0.000991482192067868
hsd17b3,0.0009855693217019383
agmo,0.0009794447339783329
kdm6a,0.0009573167585242039
opcml,0.0009258524768859915
hes5,0.0008906549779696411
tgfb3,0.0008631920561071392
e2f5,0.0008206503995246893
gpr32,0.0008183814758198154
sdc4,0.0008088206642953453
or6a2,0.0008068789504754034
notch2,0.0007696746502230702
inhba,0.0007046658861928928
bmp15,0.0006832087249622249
bche,0.0005911419744339733
